week,stock,buy,sell,qty,pnl,pnl_pct
2026-04-06,hyundai,1691.4,1778.9,9,725.03,5.17
2026-04-06,m_mfin,281.25,296.7,55,786.18,5.49
2026-04-06,ioc,134.05,143.35,115,1005.7,6.94
2026-04-06,ashokley,150.91,172.48,102,2134.17,14.29
2026-04-06,ajantpharm,2742.3,2709.0,5,-221.01,-1.21
2026-04-13,hyundai,1746.2,1781.4,9,253.3,2.02
2026-04-13,sunpharma,1652.2,1696.6,9,339.32,2.69
2026-04-13,swiggy,264.2,272.25,61,425.6,3.05
2026-04-13,unitdspr,1231.5,1252.4,13,207.12,1.7
2026-04-13,ubl,1461.7,1470.7,11,34.49,0.62
2026-04-20,industower,405.8,408.15,40,28.88,0.58
2026-04-20,sunpharma,1668.6,1669.8,9,-49.29,0.07
2026-04-20,ajantpharm,2781.3,2779.2,5,-66.11,-0.08
2026-04-20,ipcalab,1468.6,1494.8,11,223.01,1.78
2026-04-20,patanjali,459.65,472.1,36,381.11,2.71
2026-04-27,infy,1170.3,1167.5,14,-104.66,-0.24
2026-04-27,persistent,4817.5,4805.8,3,-92.84,-0.24
2026-04-27,hcltech,1228.2,1200.2,13,-427.14,-2.28
2026-04-27,industower,402.3,413.9,41,408.67,2.88
2026-04-27,bhartihexa,1499.4,1527.1,11,238.12,1.85
2026-05-04,vedl,294.65,316.4,56,1149.56,7.38
2026-05-04,indianb,830.35,866.85,20,662.11,4.4
2026-05-04,unionbank,163.77,168.75,101,435.81,3.04
2026-05-04,hcltech,1200.5,1189.1,13,-210.33,-0.95
2026-05-04,persistent,4788.1,5014.0,3,618.89,4.72
2026-05-11,vedl,298.4,323.35,57,1351.27,8.36
2026-05-11,sbin,973.6,970.1,17,-125.59,-0.36
2026-05-11,unionbank,163.81,162.46,105,-210.27,-0.82
2026-05-11,canbk,129.43,129.26,132,-90.73,-0.13
2026-05-11,dalbharat,1772.2,1776.9,9,-21.58,0.27
2026-05-18,apollotyre,375.15,375.9,46,-34.6,0.2
2026-05-18,recltd,333.7,333.0,52,-105.74,-0.21
2026-05-18,sbin,939.4,950.9,18,138.95,1.22
2026-05-18,waareeener,2997.5,3005.2,5,-21.53,0.26
2026-05-18,vedl,327.0,333.75,53,287.71,2.06
2026-05-25,lici,418.67,415.0,41,-219.04,-0.88
2026-05-25,torntpower,1474.6,1440.5,11,-439.23,-2.31
2026-05-25,ubl,1323.5,1339.8,13,142.65,1.23
2026-05-25,dmart,4097.2,4124.4,4,43.03,0.66
2026-05-25,ntpcgreen,102.02,104.33,170,322.54,2.26
2026-06-01,trent,2771.53,2838.4,6,333.88,2.41
2026-06-01,lici,404.85,402.9,42,-149.75,-0.48
2026-06-01,cochinship,1429.4,1455.7,12,246.36,1.84
2026-06-01,concor,464.1,451.9,37,-519.18,-2.63
2026-06-01,ubl,1286.0,1340.0,13,633.72,4.2
2026-06-08,trent,2724.1,2754.7,6,117.85,1.12
2026-06-08,rvnl,228.23,228.17,76,-73.93,-0.03
2026-06-08,lici,395.5,395.95,44,-49.85,0.11
2026-06-08,concor,445.35,445.5,39,-63.64,0.03
2026-06-08,hindzinc,556.0,547.55,31,-330.37,-1.52
2026-06-15,ongc,243.65,245.0,71,26.46,0.55
2026-06-15,oil,417.2,417.05,41,-74.56,-0.04
2026-06-15,ntpc,348.1,355.55,50,302.13,2.14
2026-06-15,glaxo,2122.5,2199.8,8,549.24,3.64
2026-06-15,tataconsum,1100.4,1124.5,15,294.75,2.19
2026-06-22,sail,174.85,171.42,100,-412.25,-1.96
2026-06-22,infy,1065.4,1056.6,16,-208.7,-0.83
2026-06-22,tcs,2127.8,2109.0,8,-218.19,-0.88
